Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
476b6188-5fce-1238-8e45-951e40b741fd,2002-11-26,,999-57-6663,S99983552,,Ms.,Vanetta255,Schmidt332,,,,asian,nonhispanic,F,Falmouth  Massachusetts  US,314 Lesch Divide Apt 25,Malden,Massachusetts,Middlesex County,02148,42.47385320573442,-71.01237466667871,448891.76,0.0
dd97c51d-1459-499e-4862-b45fa3d53678,2002-05-02,,999-80-4980,S99962171,,Ms.,Barabara924,Roob72,,,,white,nonhispanic,F,Lowell  Massachusetts  US,671 Haag Bypass,Stockbridge,Massachusetts,Berkshire County,,42.2955225833344,-73.34372500535736,58945.045999999995,9025.873999999998
9b3ed667-5345-efea-9f85-d64e140ed872,1991-03-22,,999-93-4014,S99968248,X61370840X,Mrs.,Euna523,Williamson769,,Gerhold939,M,white,nonhispanic,F,Pittsfield  Massachusetts  US,397 Moen Bay Suite 81,Springfield,Massachusetts,Hampden County,01106,42.136331639480865,-72.57269901930285,93084.39399999999,8633.485999999999
d699a226-cd5b-3214-4009-d96f4f4fa8b5,1980-04-26,,999-68-7465,S99911982,X22487243X,Mrs.,Dovie983,Sawayn19,,Hamill307,M,white,nonhispanic,F,Framingham  Massachusetts  US,573 Carroll Brook,Bellingham,Massachusetts,Norfolk County,,42.11097470150941,-71.43691301854055,980003.48,0.0
99ddd494-f2f5-7f5c-b5f9-5d1a4c3172a8,1986-11-20,,999-73-3756,S99978516,X48454121X,Mr.,Boris111,Russel238,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,387 Mante Branch,North Westport,Massachusetts,Bristol County,,41.71319983878565,-71.1263091308123,820804.6400000001,0.0
d6f697bd-002d-25e1-1f9c-cd6b0750af5a,1973-03-05,,999-94-1365,S99928178,X76323968X,Mrs.,Marlena558,Ankunding277,,Koelpin146,M,white,nonhispanic,F,Chelmsford  Massachusetts  US,225 Casper Orchard Suite 45,Worcester,Massachusetts,Worcester County,01605,42.25463065713585,-71.76265572074072,1154679.5999999999,0.0
4f6fc534-ee00-8eb5-cb55-c7e0c932cadd,1986-11-19,,999-77-6476,S99956711,X81731049X,Mr.,Noe500,Heathcote539,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,453 Langosh Corner,Norwood,Massachusetts,Norfolk County,02090,42.22132120671137,-71.19814786390617,870403.39,0.0
ee46d94e-3f21-3ce9-4c61-e9e494cd64f5,2013-10-19,,999-34-2084,,,,Filiberto722,Hoppe518,,,,white,nonhispanic,M,Methuen  Massachusetts  US,907 Hilpert Loaf,Quincy,Massachusetts,Norfolk County,02170,42.339454862382524,-71.01787770084368,187046.38999999998,1697.85
827b49ff-054e-8956-19a5-7fc959c62ddf,2001-08-02,,999-94-1591,S99914573,,Ms.,Hermelinda327,Zemlak964,,,,white,nonhispanic,F,Wakefield  Massachusetts  US,204 Deckow Esplanade,Millis,Massachusetts,Norfolk County,,42.160549188903694,-71.35416892578371,482980.39999999997,0.0
10aa73f9-860e-2a37-cd9c-bb2e2215110a,1927-11-09,,999-53-1897,S99935525,X3459997X,Mr.,Vern731,Schmeler639,,,M,white,nonhispanic,M,Boston  Massachusetts  US,903 Harris Esplanade,Andover,Massachusetts,Essex County,01810,42.68480096926436,-71.16443284438213,2134943.375999999,7219.464000000001
